amount,history,high_amount,frequent_claims,domain_health,domain_vehicle,domain_life,domain_financial,non_network,high_damage,early_policy,income_mismatch,fraud
41048,0,0,0,1,0,0,0,0,0,0,0,0
41463,1,0,0,0,0,0,1,0,0,0,0,0
10695,1,0,0,0,0,1,0,0,1,0,0,0
90458,2,0,0,0,1,0,0,1,0,0,0,0
37087,0,0,0,0,1,0,0,0,1,0,0,0
32653,2,0,0,0,0,0,1,0,0,0,0,0
136155,2,1,0,0,0,1,0,0,0,0,0,0
55432,0,0,0,0,0,0,1,1,0,0,0,0
5425,3,0,0,0,0,0,1,1,0,0,0,0
26174,0,0,0,0,1,0,0,0,0,0,0,0
90322,0,0,0,0,1,0,0,0,0,0,0,0
132296,5,1,1,0,1,0,0,0,0,0,0,0
9117,2,0,0,1,0,0,0,0,0,0,0,0
17704,1,0,0,0,0,0,1,0,0,1,0,0
75292,0,0,0,0,1,0,0,0,0,0,0,0
68653,0,0,0,0,1,0,0,1,1,1,0,0
43890,0,0,0,0,0,0,1,0,0,0,0,0
88981,0,0,0,1,0,0,0,0,0,0,0,0
307090,1,1,0,0,0,1,0,0,0,0,0,0
32938,0,0,0,1,0,0,0,0,0,0,0,0
254309,2,1,0,0,0,1,0,0,0,0,0,0
37914,2,0,0,0,0,1,0,0,0,0,0,0
61057,0,0,0,0,0,0,1,0,1,0,0,0
107535,1,1,0,1,0,0,0,0,0,0,0,0
48540,1,0,0,1,0,0,0,0,0,0,0,0
34831,0,0,0,0,0,0,1,0,0,1,0,0
260472,2,1,0,0,0,1,0,0,0,0,0,0
62154,0,0,0,0,1,0,0,1,0,0,0,0
58528,0,0,0,0,0,1,0,0,0,1,0,1
32549,0,0,0,1,0,0,0,0,0,0,0,0
35784,1,0,0,0,0,1,0,0,0,1,0,1
36979,0,0,0,0,0,0,1,0,0,0,0,0
65901,1,0,0,1,0,0,0,1,0,0,0,0
37406,1,0,0,0,0,0,1,0,0,0,0,0
35311,0,0,0,1,0,0,0,0,0,0,0,0
180348,0,1,0,1,0,0,0,0,1,0,0,0
40774,0,0,0,0,1,0,0,0,0,0,0,0
61179,0,0,0,1,0,0,0,0,0,0,0,0
75702,0,0,0,1,0,0,0,1,0,0,0,0
19993,0,0,0,0,1,0,0,0,0,0,0,0
45888,0,0,0,1,0,0,0,1,0,0,0,0
154177,1,1,0,1,0,0,0,0,0,0,0,0
65258,1,0,0,0,0,1,0,0,0,1,0,1
188885,2,1,0,0,0,1,0,0,0,0,0,0
124608,0,1,0,0,0,1,0,0,1,1,0,1
69332,0,0,0,0,0,0,1,0,0,0,0,0
64473,0,0,0,0,0,1,0,0,0,0,0,0
301773,0,1,0,0,0,1,0,0,0,1,0,1
66524,0,0,0,1,0,0,0,0,1,0,0,0
78772,3,0,0,1,0,0,0,0,0,0,0,0
12894,1,0,0,0,0,0,1,0,1,0,0,0
66592,0,0,0,0,0,0,1,0,0,0,0,0
