domain,amount,history,hospital_network,damage_cost,policy_duration,income,loan_amount,fraud
Financial,180627,5,1,36340,3.87,91955,190424,0
Health,233350,2,1,4253,1.86,35751,283385,0
Vehicle,250224,4,1,74773,0.29,91268,277101,1
Vehicle,165600,4,0,97300,7.4,77287,147008,1
Life,46167,5,1,58224,7.52,88432,329428,0
Life,474421,5,1,90008,2.59,74135,189154,0
Financial,96961,5,1,38497,9.18,26552,302656,1
Financial,323683,2,1,65966,5.09,74074,368421,0
Financial,7195,0,0,41715,3.9,48205,201128,0
Financial,198361,2,1,82763,8.06,45226,162535,0
Health,132179,5,1,81422,5.63,56465,101276,0
Financial,482467,5,0,79531,4.07,63544,193827,0
Vehicle,263468,1,0,89363,6.34,64883,305026,1
Health,45518,2,0,59984,5.32,62352,315011,0
Financial,317931,1,1,26943,9.53,98003,394716,0
Vehicle,9954,4,0,82640,7.79,37920,466980,1
Life,288231,5,0,95839,6.25,29033,480716,0
Financial,243696,4,0,38346,2.8,26776,286577,1
Life,76705,2,0,9908,2.7,82952,267788,0
Vehicle,406523,2,0,57179,4.21,84692,372952,1
Financial,78420,2,1,17753,5.37,48945,93109,0
Financial,68422,3,1,4442,6.16,82240,162908,0
Vehicle,464651,0,0,40445,3.86,52226,493158,0
Health,115754,1,1,39856,2.54,64712,270293,0
Life,180623,0,0,98069,2.26,81375,324280,0
Health,409968,2,0,72692,2.03,91141,161172,1
Life,442855,4,1,31983,8.19,89154,447574,0
Health,136375,2,0,73190,7.38,65797,263376,1
Health,196564,4,0,38374,8.61,97576,319166,1
Life,29343,5,0,39694,7.28,25398,193456,0
Life,246558,2,0,63903,6.83,99872,271899,0
Financial,146977,0,0,91180,9.06,79110,138479,0
Health,184060,3,1,78452,6.67,23863,278344,0
Financial,299424,1,0,16222,0.94,95057,85800,0
Financial,206017,2,0,16766,7.55,53449,134808,0
Life,392367,5,0,39232,6.43,64362,416017,0
Health,465906,1,0,26358,1.18,54738,470010,1
Health,5235,3,1,18538,5.52,61980,295140,0
Health,412995,0,1,25773,2.23,58842,270601,0
Life,422358,3,1,56369,4.34,99299,207452,0
Vehicle,457726,1,1,31229,9.55,71168,73066,0
Financial,147514,4,1,91620,4.8,98627,120382,0
Financial,43731,1,0,47373,5.96,42303,55947,0
Vehicle,436819,3,0,23055,6.85,51062,458153,0
Vehicle,350049,1,0,1729,7.14,68973,132165,0
Vehicle,9872,1,1,96090,9.38,72846,435451,1
Life,498373,0,0,77145,5.93,40363,53254,0
Financial,293369,2,0,78903,4.52,54422,327797,1
Vehicle,224212,5,1,21892,0.93,35344,257281,1
Health,184442,5,1,42333,4.59,97464,115157,0
Financial,336964,2,0,8952,5.72,74350,487520,1
Vehicle,268832,5,0,18010,0.14,32204,406149,1
Vehicle,269236,3,1,73899,1.16,28218,238007,1
Life,498328,0,0,34696,1.22,57643,365854,0
Financial,294402,3,0,46585,7.84,57566,404285,1
Vehicle,350742,2,0,58735,1.34,47773,420421,1
Health,50154,2,0,54280,5.27,72773,342917,0
Life,165998,1,1,81919,6.59,84461,498627,0
Life,367635,2,0,79408,5.12,33789,263253,0
Health,175031,1,0,49358,4.69,82726,364769,1
Financial,496745,1,0,71739,7.18,61890,470202,1
Health,31231,4,0,32329,7.79,89830,281161,0
Vehicle,437279,0,1,70313,2.42,60167,253198,1
Life,113698,1,1,89661,5.14,65967,277871,0
Health,54689,0,1,26419,8.76,46478,173695,0
Health,138135,1,1,11963,7.82,82881,51114,0
Life,254812,4,1,12379,1.55,93830,112990,0
Health,391738,1,0,33707,4.26,92366,99752,1
Vehicle,483414,2,0,95999,5.11,80294,130669,1
Health,398317,3,0,33227,0.73,92698,195832,1
Vehicle,332459,0,0,33215,6.95,68491,451786,0
Health,159755,0,1,22672,9.6,81077,255695,0
Financial,196541,2,1,12165,2.48,39729,157758,0
Vehicle,335983,5,1,66198,6.74,32833,343879,1
Life,283025,1,1,28577,7.81,60655,437829,0
Financial,26593,2,0,61321,1.84,21393,330935,1
Health,403233,0,0,32838,5.44,99465,151698,1
Health,90194,3,1,13947,9.33,79830,54069,0
Vehicle,434588,1,1,94794,7.03,83721,150794,1
Health,456608,0,0,53899,7.89,89874,366375,1
Life,197615,1,1,24820,7.78,34742,343598,0
Vehicle,469275,2,0,69171,4.22,31231,339614,1
Health,104144,4,0,934,2.97,58914,59756,1
Vehicle,199332,2,0,95858,3.75,47476,137082,1
Vehicle,89062,2,1,64349,0.66,69770,82660,1
Health,282177,3,1,33951,0.59,36788,218827,0
Life,67157,2,0,9929,8.05,37373,63369,0
Health,103159,0,0,12193,9.01,71802,361955,1
Health,237514,4,0,64411,7.18,40210,224593,1
Vehicle,213442,5,0,45428,3.94,75849,296962,1
Life,328163,1,1,24217,9.97,49557,213879,0
Financial,311148,5,1,1698,9.39,58092,104455,0
Vehicle,239707,3,1,11951,4.2,41828,425868,0
Health,63429,4,0,6511,4.95,51803,213927,0
Financial,475275,4,1,95839,3.03,52260,429040,1
Health,178046,2,1,50714,7.41,54246,54607,0
Health,359233,3,0,11362,0.58,63822,56332,1
Life,172119,0,1,80027,0.88,69954,303477,1
Vehicle,45898,1,0,92092,4.17,74882,242368,1
Health,452937,2,0,93208,1.28,85407,445515,1
Health,59016,4,1,91910,1.73,46035,221443,0
Health,464607,1,0,29828,2.49,34540,162370,1
Vehicle,130915,4,0,4660,3.37,50740,274301,1
Life,131707,0,0,35701,3.87,67044,158879,0
Vehicle,25346,3,0,78411,7.68,76162,460424,1
Life,124381,1,0,95983,7.29,53382,77965,0
Life,268988,0,0,29515,7.23,27251,428458,0
Vehicle,325834,0,0,91188,7.26,34330,210734,1
Life,27734,2,1,61324,2.89,92513,335556,0
Vehicle,383457,1,0,60338,7.17,68636,64124,1
Vehicle,219691,0,0,64418,3.88,39320,125597,1
Financial,217956,3,1,55177,0.16,45605,413048,1
Life,311914,3,0,44897,7.47,98118,161189,0
Financial,109473,1,0,66962,4.64,33658,399606,1
Life,76206,5,0,11731,2.8,89941,195210,0
Financial,78442,4,1,91492,3.15,40686,289833,1
Financial,236055,2,0,39450,2.13,51334,274932,1
Life,290965,3,1,83946,4.77,28396,460992,0
Health,236316,2,1,67959,3.26,62275,450337,0
Life,466857,3,1,12754,0.39,70439,479670,1
Financial,28837,5,1,26522,4.71,87214,81572,0
Vehicle,372959,3,0,56113,6.87,62286,248621,1
Vehicle,88839,2,0,91902,8.2,73959,153190,1
Vehicle,56758,2,0,15125,6.71,58198,242951,0
Life,329147,2,0,43526,6.73,45083,453246,0
Financial,168547,2,0,15138,6.11,66712,120109,0
Financial,92356,2,1,77029,1.3,89752,372270,0
Financial,52607,5,1,43859,0.03,46006,237932,1
Health,144187,4,0,74911,1.23,93802,84753,1
Life,69943,5,0,14483,6.14,92194,457512,0
Health,111191,2,0,63815,2.04,98017,255248,1
Financial,18084,4,0,20461,6.94,86301,413011,0
Vehicle,278345,5,0,26515,7.67,94924,344981,1
Health,442589,2,0,45558,3.38,42353,339075,1
Health,483574,2,1,23773,2.98,93234,431999,0
Vehicle,464958,4,0,81923,6.31,66152,130451,1
Vehicle,197900,2,1,26369,9.62,77942,99055,0
Health,497983,1,1,61474,8.1,21093,178604,0
Vehicle,33202,0,0,2268,0.07,78870,239844,0
Vehicle,150923,4,1,16483,3.13,75720,184938,1
Financial,244189,5,0,14093,6.69,58582,480528,1
Life,448007,4,0,96023,2.16,53196,304678,0
Vehicle,189692,1,1,74629,4.94,23495,267291,1
Health,110231,0,0,52221,5.97,78106,355902,1
Financial,306636,2,1,93270,6.0,48414,262507,1
Vehicle,14587,0,1,2443,5.93,67473,108766,0
Financial,490551,2,1,44984,0.08,20712,148151,1
Health,459758,0,0,81012,7.33,74864,320223,1
Financial,187860,3,0,34640,2.81,93857,327348,0
Health,230797,3,0,98753,2.14,23473,226503,1
Health,439483,2,1,30046,6.64,98190,216055,0
Health,385397,1,1,98012,8.87,90281,370633,0
Financial,130313,2,0,1212,7.71,29872,277940,1
Life,461418,5,1,54654,6.78,78174,267128,0
Financial,162593,3,0,75107,9.79,39703,288992,1
Financial,458933,5,1,75769,7.54,63068,476863,1
Vehicle,264193,0,1,88454,7.1,27720,335550,1
Health,209314,5,0,58229,7.05,36895,163550,1
Health,86681,4,0,95581,9.16,40977,160569,0
Life,221983,4,1,94857,2.76,46352,68405,0
Financial,422883,5,0,68019,6.08,34840,394743,1
Vehicle,19330,5,1,85351,1.62,64471,252629,1
Life,50578,3,1,55648,7.19,87347,487482,0
Vehicle,152615,5,1,44251,9.28,63691,189015,1
Health,275770,2,0,69021,0.38,48815,172667,1
Life,374237,5,1,16140,0.03,49863,272898,1
Life,107909,2,1,34416,6.13,32940,319795,0
Financial,136644,1,1,55317,9.5,77458,84001,0
Vehicle,430980,3,0,82990,1.01,79388,251311,1
Health,29966,4,0,34118,5.72,77538,152376,0
Life,342354,0,1,13608,2.07,87089,371836,0
Vehicle,26710,0,0,28121,1.81,94647,267728,0
Health,434161,1,1,81794,6.02,81436,296956,0
Financial,438418,3,1,28375,7.07,22356,452459,1
Health,56298,4,0,41067,9.07,50745,138489,0
Health,14824,5,0,67866,0.31,75573,423827,0
Life,388698,5,1,70889,5.73,44512,173265,0
Vehicle,417455,5,0,79353,7.51,98180,410559,1
Financial,77148,4,0,57568,4.94,79365,235959,0
Financial,388569,5,0,82048,1.22,82026,70061,0
Vehicle,309532,1,1,78470,9.92,56004,151956,1
Life,124788,3,1,22906,0.03,86787,323283,1
Health,203800,5,1,16017,9.14,21345,66027,0
Vehicle,50480,2,1,75464,7.73,79276,494522,1
Life,478262,0,0,82907,7.51,84881,66170,0
Health,121236,5,1,28709,7.97,34272,353847,0
Health,61324,1,1,37529,5.34,37797,294922,0
Vehicle,251677,4,0,12530,0.07,27605,292014,1
Health,23171,1,1,71421,8.02,38443,344411,0
Life,153474,0,0,57165,4.13,95979,366171,0
Health,260280,5,1,80098,3.17,76454,383368,0
Health,489199,5,1,73553,5.99,95356,282528,0
Vehicle,413900,2,0,68965,0.95,99232,277019,1
Health,204571,2,1,67197,5.22,21504,468447,0
Life,182796,4,1,65450,1.84,31934,228355,0
Financial,430865,4,1,84997,9.29,90070,449327,0
Vehicle,190550,3,0,81366,7.94,32251,426960,1
Health,411156,4,1,63175,5.92,33977,289850,0
Financial,333869,5,1,27441,2.34,67670,58688,0
Vehicle,99998,2,1,32529,3.73,80369,259068,0
Health,389270,1,1,84871,5.72,25900,258607,0
Vehicle,21398,5,0,30798,0.33,24669,170111,1
Vehicle,390144,1,0,98763,5.58,55722,105643,1
Vehicle,97849,4,0,90862,4.25,73137,356999,1
Vehicle,464222,3,1,92988,0.63,41174,266655,1
Health,452513,5,0,18756,6.3,80502,271717,1
Life,60012,1,0,3782,9.4,34612,235374,0
Life,421149,3,0,91147,6.05,95005,169434,0
Vehicle,31806,3,1,89515,0.6,38721,175799,1
Vehicle,434634,5,1,88976,4.57,56224,413205,1
Vehicle,238928,2,0,84083,8.04,80333,327168,1
Financial,229371,0,0,83819,8.1,71959,272910,0
Vehicle,290124,2,1,23868,6.9,89988,110453,0
Vehicle,225629,2,1,50087,3.9,72723,145274,1
Vehicle,215160,0,1,7137,4.43,42848,253990,0
Financial,402560,3,0,88082,9.95,82433,201365,0
Vehicle,22038,2,1,98995,5.13,37353,349651,1
Vehicle,393279,2,0,55690,3.11,78491,378731,1
Financial,424065,0,0,15861,3.99,70086,335464,0
Health,42165,5,0,62,6.52,58756,226512,0
Vehicle,146597,0,1,75022,2.32,97090,211644,1
Financial,256244,0,0,52055,1.3,92110,213923,0
Vehicle,39398,4,0,68585,8.37,36341,101863,1
Health,138274,3,1,56313,3.1,39847,109715,0
Health,414214,1,0,21602,5.89,64221,88120,1
Life,233845,4,1,5708,6.48,74153,272192,0
Financial,220371,2,0,93397,8.9,94274,360696,0
Vehicle,145138,1,0,78833,0.23,30622,235432,1
Financial,457415,4,0,71267,9.0,29371,489484,1
Health,282098,1,1,96975,9.82,57698,221194,0
Health,432237,0,1,71769,1.64,92459,57255,0
Financial,31421,0,1,3545,1.76,99645,196191,0
Life,489138,5,1,78212,8.74,91955,89514,0
Financial,159089,3,1,58338,5.08,47368,417088,1
Health,225450,0,0,81381,4.38,28704,475719,1
Vehicle,349787,2,1,93730,6.01,25978,252540,1
Health,305127,1,0,98248,0.51,49166,276311,1
